epoch,train_loss,train_acc,test_loss,test_acc
1,2.1099266847059415,10.433333333333334,2.09464594664847,10.28
2,2.1208999675474187,12.263333333333334,1.9715290509971084,22.44
3,1.8782986724046247,28.811666666666667,1.8561921795462346,31.58
4,1.850886046886444,30.141666666666666,1.8071607677799881,30.14
5,1.725121066387274,36.138333333333335,1.6588086018896406,40.79
6,1.7069690704091525,36.29666666666667,1.5924082500919414,40.67
7,1.625498812208806,38.97,1.7008790332040968,35.81
8,1.6021896708748742,39.645,1.6016642212108443,41.47
9,1.5911255274245988,39.76833333333333,1.5200637275246298,41.54
10,1.6327748927734553,38.22666666666667,1.5911757034860599,41.19
11,1.5474428817915764,40.34166666666667,1.5135931042349262,40.35
12,1.7210338528730722,36.11,1.7816439593673512,33.04
13,1.7645873679026867,35.97666666666667,1.746432848796723,32.69
14,1.6393388893558527,39.39666666666667,1.6761355240633533,35.81
15,1.608208784035274,39.185,1.5286713686718303,42.15
16,1.5349533210939437,40.34,1.7045702015518382,36.36
17,1.5517185759951058,39.51833333333333,1.563675851578925,38.62
18,1.578857043404569,38.28333333333333,1.6060955812976618,37.6
19,1.6300670582094172,37.348333333333336,1.5785903042289102,39.22
20,1.5353094974814703,39.34166666666667,1.4820256650827492,42.05
21,1.459911205239896,42.92333333333333,1.4650423078779962,44.27
22,1.6639480381123801,36.38,1.774251529365588,36.53
23,1.521199040829754,41.40833333333333,1.4663721011702422,43.07
24,1.5480100543005888,40.02,1.4881923175921106,43.07
25,1.5159260705589994,41.26166666666666,1.5249338484114143,40.88
26,1.4882395539456592,42.89333333333333,1.4137909905925679,46.09
27,1.5898021783655896,38.95666666666666,1.5954210295039377,36.81
28,1.5550005085178529,40.11,1.4757375269179132,44.09
29,1.4960185721484838,42.583333333333336,1.5149629176801938,39.92
30,1.495281435533373,42.635,1.5785934416351803,38.68
31,1.4521598594148022,44.82666666666667,1.440742658202056,44.93
32,1.4615151924110934,44.465,1.4954711456967007,42.2
33,1.445693690639569,44.10333333333333,1.4501924636257681,43.76
34,1.460731551591267,43.958333333333336,1.4471456207287539,45.12
35,1.4223171822043623,44.431666666666665,1.392609776205318,45.72
36,1.4038811712376853,45.75333333333333,1.4144297731909783,44.79
37,1.6586072645716068,40.77,1.6207780617817191,38.75
38,1.8208026108202904,38.251666666666665,1.7898792673827737,35.2
39,1.537841861944463,42.08166666666666,1.5415017445375965,40.83
40,1.6898375469992664,39.51833333333333,1.5748898238892768,41.84
41,1.5004582317399064,42.461666666666666,1.454474528124378,43.31
42,1.431384152822149,44.51,1.4418859709599974,44.1
43,1.5279488666479522,42.13,1.540464182568204,42.26
44,1.4894895579006626,43.306666666666665,1.4802896270326749,42.75
45,1.4908869509249607,43.17166666666667,1.444527530366448,45.86
46,1.450215959981052,44.895,1.4949522010839669,43.78
47,1.4387935244960826,46.778333333333336,1.5021726758616745,45.99
48,1.6844186842568647,36.806666666666665,1.4952602591484216,43.52
49,2.1571877267060757,30.975,1.6863704266821502,38.75
50,1.6441365557947138,39.58166666666666,1.7239784222499581,40.3
